JH,SJ,YZB,LY,DYM,CC1,CC2,YCYE,CCCD,RCY,YCY
北2-2-044,200802,6924548,4.58,709.2,3,6,312.37,35.844,10.79,1.47
北2-2-044,200803,6924548,4.82,654.86,3,6,331.22,35.8808,10.79,1.99
北2-2-044,200804,6924548,4.82,654.86,3,6,295.42,35.9142,9.86,2.04
北2-2-044,200805,6924548,4.82,654.86,3,6,310.54,35.9488,10.03,2.14
北2-2-044,200806,6924548,4.82,654.86,3,6,265.12,35.9823,8.93,1.21
北2-2-044,200807,6924548,4.82,654.86,3,6,284.35,36.0166,9.18,0.72
北2-2-044,200808,6924548,4.97,624.13,3,6,294.34,36.0483,9.51,1.08
北2-2-044,200809,6924548,4.84,650.84,3,6,243.78,36.0833,8.16,1.09
北2-2-044,200810,6924548,4.83,654.05,3,6,262.69,36.1213,8.6,1.2
北2-2-044,200811,6924548,4.83,654.05,3,6,253.19,36.1604,8.45,1.21
北2-2-044,200812,6924548,4.67,564.22,3,6,293.98,36.2018,9.51,1.34
北2-2-044,200901,6924548,4.61,570.44,3,6,238.44,36.2439,8.91,1.11
北2-2-044,200902,6924548,4.61,570.44,3,6,255.82,36.2808,9.15,1.32
北2-2-044,200903,6924548,4.49,596.59,3,6,324.95,36.319,10.57,1.92
北2-2-044,200904,6924548,4.8,550.94,3,6,461.63,36.3589,15.7,3.79
北2-2-044,200905,6924548,4.8,550.94,3,6,419.1,36.3989,14.87,3.59
北2-2-044,200906,6924548,4.67,574.48,3,6,388.72,36.4339,13.13,2.91
北2-2-044,200907,6924548,4.67,574.48,3,6,368.38,36.4714,11.95,2.73
北2-2-044,200908,6924548,4.67,574.48,3,6,322.05,36.5081,10.62,1.53
北2-2-044,200909,6924548,4.67,574.48,3,6,296.25,36.5402,10.04,0.7
北2-2-044,200910,6924548,4.3,623.63,3,6,319.14,36.5701,10.56,1.24
北2-2-044,200911,6924548,4.7,553,3,6,304.6,36.5999,10.17,1.02
北2-2-044,200912,6924548,4.7,553,3,6,209.41,36.6214,6.76,0.71
北2-2-044,201001,6924548,6.78,248.73,3,6,270.91,36.6618,8.75,1.09
北2-2-044,201002,6924548,6.78,248.73,3,6,315.11,36.702,11.27,1.26
北2-2-044,201003,6924548,6.78,248.73,3,6,448.9,36.7472,14.5,1.2
北2-2-046,199104,6924398,5.7,823,3,6,852.6,19.9008,28.42,11.24
北2-2-046,199105,6924398,5.8,210,3,6,994.5,19.9918,32.08,12.42
北2-2-046,199106,6924398,5.3,314,3,6,890,20.0786,29.67,11.4
北2-2-046,199107,6924398,5.6,231,3,6,790.6,20.1644,31.62,12.32
北2-2-046,199108,6924398,5.6,260,3,6,1132.7,20.2506,36.54,10.29
北2-2-046,199109,6924398,5.6,246,3,6,1148.3,20.3312,38.28,9.49
北2-2-046,199110,6924398,5.8,225,3,6,1268.4,20.4127,40.92,10.89
北2-2-046,199111,6924398,5.3,284,3,6,1189.1,20.4917,39.64,10.82
北2-2-046,199112,6924398,5.1,329,3,6,1262.3,20.5752,40.72,9.83
北2-2-046,199201,6924398,4.3,442,3,6,1257.4,20.6587,40.56,9.24
北2-2-046,199202,6924398,4,503,3,6,1175.4,20.7405,40.53,9.51
北2-2-046,199203,6924398,4,503,3,6,1036,20.8243,35.72,9.04
北2-2-046,199204,6924398,4,503,3,6,1223.6,20.905,40.79,10.18
北2-2-046,199205,6924398,1,360,3,6,1269.1,20.9854,40.94,11
北2-2-046,199206,6924398,4.7,366,3,6,1229.8,21.0646,40.99,8.83
北2-2-046,199207,6924398,4.9,341,3,6,1284.2,21.1455,41.43,8.68
北2-2-046,199208,6924398,5.3,281,3,6,1214.6,21.2253,41.88,9.51
北2-2-046,199209,6924398,5.1,344,3,6,1205.6,21.3028,40.19,8.92
北2-2-046,199210,6924398,4.7,398,3,6,1315.9,21.3827,42.45,9.35
北2-2-046,199211,6924398,5.2,325,3,6,1324.3,21.4619,44.14,9.81
北2-2-046,199212,6924398,5.6,283,3,6,1405.3,21.5459,45.33,9.89
北2-2-046,199301,6924398,5.4,294,3,6,1359.2,21.6254,43.85,9.56
北2-2-046,199302,6924398,4.7,421,3,6,1143.9,21.695,40.85,9.22
北2-2-046,199303,6924398,5.5,283,3,6,1269.9,21.7746,40.96,9.02
北2-2-046,199304,6924398,3.7,577,3,6,1212.7,21.8456,40.42,9.51
北2-2-046,199305,6924398,5.1,285,3,6,1164.5,21.9198,38.82,9.43
北2-2-046,199306,6924398,3.4,771,3,6,1256.9,21.9912,41.9,10.18
北2-2-046,199307,6924398,5,364,3,6,1201.5,22.0619,38.76,9.13
北2-2-046,199308,6924398,4.6,437,3,6,1147.4,22.1298,37.01,8.15
北2-2-046,199309,6924398,4.7,412,3,6,1123.4,22.2029,37.45,8.85
北2-2-046,199310,6924398,3.1,707,3,6,1232.6,22.3001,39.76,8.06
北2-2-046,199311,6924398,5.7,297,3,6,869.8,22.394,36.24,6.35
北2-2-046,199312,6924398,4.3,542,3,6,1182.6,22.4962,38.15,6.39
北2-2-046,199401,6924398,4,577,3,6,1151,22.6062,37.13,6.15
北2-2-048,199106,6924284,3.8,662,3,6,1295.5,20.0786,43.18,16.7
北2-2-048,199107,6924284,6.6,194,3,6,1275.2,20.1644,42.51,17.56
北2-2-048,199108,6924284,6.1,271,3,6,1248.7,20.2506,40.28,17.69
北2-2-048,199109,6924284,4.1,746,3,6,966.7,20.3312,37.18,15.18
北2-2-048,199110,6924284,4,782,3,6,1148,20.4127,37.03,14.67
北2-2-048,199111,6924284,3.9,780,3,6,1008,20.4917,33.6,13.05
北2-2-048,199112,6924284,3.9,777,3,6,869.5,20.5752,28.05,11.6
北2-2-048,199201,6924284,3.6,780,3,6,851.3,20.6587,27.46,13.49
北2-2-048,199202,6924284,3.8,699,3,6,859.8,20.7405,29.65,13.24
北2-2-048,199203,6924284,3.8,699,3,6,599,20.8243,19.32,7.78
北2-2-048,199204,6924284,3.8,699,3,6,388,20.905,12.93,4.87
北2-2-048,199205,6924284,3.8,725,3,6,393.1,20.9854,12.68,4.5
北2-2-048,199206,6924284,4.1,785,3,6,380.2,21.0646,12.67,4.84
北2-2-048,199207,6924284,4.1,750,3,6,413.7,21.1455,13.35,5.19
北2-2-048,199208,6924284,4.4,725,3,6,445.6,21.2253,14.85,5.46
北2-2-048,199209,6924284,4.1,769,3,6,432.9,21.3028,17.32,6.14
北2-2-048,199210,6924284,4.2,727,3,6,502.6,21.3827,16.21,5.45
北2-2-048,199211,6924284,4.1,707,3,6,440.6,21.4619,14.69,5.31
北2-2-048,199212,6924284,4.1,692,3,6,497.3,21.5459,16.04,5.36
北2-2-048,199301,6924284,4,682,3,6,528.9,21.6254,17.06,5.9
北2-2-048,199302,6924284,3.8,701,3,6,505.1,21.695,18.04,6.43
北2-2-048,199303,6924284,3.7,781,3,6,734.3,21.7746,23.69,8.39
北2-2-048,199304,6924284,3.5,789,3,6,737.9,21.8456,24.6,8.69
北2-2-048,199305,6924284,3.5,786,3,6,556.4,21.9198,24.19,8.73
北2-2-048,199306,6924284,4.8,391,3,6,754.4,21.9912,25.15,9.22
北2-2-048,199307,6924284,3.6,670,3,6,773.8,22.0619,24.96,9.5
北2-2-048,199308,6924284,3.6,666,3,6,743.9,22.1298,24,9.66
北2-2-048,199309,6924284,4.1,683,3,6,610.6,22.2029,21.06,3.21
北2-2-048,199310,6924284,4.2,633,3,6,679.9,22.3001,21.93,3.58
北2-2-048,199311,6924284,3.9,597,3,6,622,22.394,20.73,5.23
北2-2-048,199312,6924284,3.9,597,3,6,725.8,22.4962,23.41,5.8
北2-2-048,199401,6924284,3.7,689,3,6,685,22.6062,22.1,5
北2-2-048,199402,6924284,3.9,727,3,6,629,22.7076,22.46,5.29
北2-2-048,199403,6924284,3.6,683,3,6,708.5,22.8173,22.85,8.81
北2-2-048,199404,6924284,3.2,739,3,6,660.6,22.9292,22.02,8.73
北2-2-048,199405,6924284,4.3,572,3,6,510.6,23.0503,20.42,7.43
北2-2-048,199406,6924284,4.3,722,3,6,599.5,23.1689,19.98,7.37
北2-2-048,199407,6924284,3.7,791,3,6,590.5,23.2953,19.05,6.05
北2-2-048,199408,6924284,3.8,790,3,6,595.6,23.4164,19.21,5.13
北2-2-048,199409,6924284,3.9,790,3,6,497.2,23.5354,20.72,5.78
北2-2-048,199410,6924284,3.9,771,3,6,625,23.6607,20.16,6.08
北2-2-048,199411,6924284,4.1,777,3,6,766,23.7818,28.37,5.64
北2-2-048,199412,6924284,3.7,775,3,6,1042.4,23.9029,33.63,5.46
北2-2-048,199501,6924284,3.8,783,3,6,1144.4,24.0206,36.92,5.53
北2-2-048,199502,6924284,4.3,749,3,6,1026.7,24.1289,36.67,5.51
北2-2-048,199503,6924284,5,676,3,6,1233.8,24.2465,39.8,5.73
北2-2-048,199504,6924284,5.2,651,3,6,924.6,24.3586,40.2,6.23
北2-2-048,199505,6924284,4.8,626,3,6,1260.1,24.4744,40.65,7.58
北2-2-048,199506,6924284,4.2,697,3,6,1235.8,24.5871,41.19,10.58
北2-2-048,199507,6924284,4.7,616,3,6,1228.2,24.7014,39.62,8.64
北2-2-048,199508,6924284,4.7,616,3,6,984.8,24.8121,39.39,8.65
北2-2-048,199509,6924284,5.7,575,3,6,1201.2,24.9211,40.04,10.13
北2-2-048,199510,6924284,5,646,3,6,1243.8,25.0356,40.12,11.32
北2-2-048,199511,6924284,5,646,3,6,1317.9,25.1557,43.93,11.87
北2-2-048,199512,6924284,5,646,3,6,1279.4,25.2708,41.27,10.65
北2-2-048,199601,6924284,4,759,3,6,1190.4,25.3848,38.4,8.44
北2-2-048,199602,6924284,5.1,717,3,6,1198.5,25.4963,41.33,9.24
北2-2-048,199603,6924284,4.8,745,3,6,1270.9,25.6109,41,7.45
北2-2-048,199604,6924284,4.9,748,3,6,970,25.7266,42.17,5.65
北2-2-048,199605,6924284,4.2,762,3,6,1349.4,25.8422,43.53,5.14
北2-2-048,199606,6924284,4.2,762,3,6,1351.3,25.955,45.04,4.87
