jh,rq,real,predict,jdwc,xdwc,mpe
喇10-18,1991-07-01,82.00386547449705,73.9866,8.017262691293922,0.09776688751077553,-9.776688751077552
喇10-19,1980-11-01,78.62253972769763,76.67632,1.9462167906859094,0.024753929311193242,-2.475392931119324
喇10-19,1980-12-01,77.40034870961188,76.766975,0.6333733067798448,0.008183080791484729,-0.8183080791484729
喇10-19,1981-01-01,81.14812355212355,76.59322,4.554899980346207,0.05613068769754702,-5.613068769754702
喇10-19,1981-02-01,77.20463157894737,76.32532,0.8793141961348709,0.01138939695911518,-1.138939695911518
喇10-19,1981-03-01,79.65317780938834,76.69215,2.9610315081188077,0.03717405368564975,-3.7174053685649753
喇10-19,1981-04-01,77.75846941678522,76.38656,1.371910884070374,0.01764323416291716,-1.7643234162917159
喇10-19,1981-05-01,76.65912212964844,76.43187,0.22725262281250025,0.002964456368651902,-0.2964456368651902
喇10-19,1981-06-01,78.11450802682381,76.2373,1.8772109687183445,0.024031527767847265,-2.4031527767847267
喇10-19,1981-07-01,76.74865230644178,76.59892,0.14972957694959632,0.0019509082237920807,-0.19509082237920808
喇10-19,1981-08-01,84.85842064621012,76.24351,8.614913260956214,0.1015210181305792,-10.15210181305792
喇10-19,1981-09-01,80.00921641942695,75.86646,4.142753711907417,0.05177845624921681,-5.177845624921681
喇10-19,1981-10-01,75.96161958951433,76.11947,0.15784909945051595,0.00207801124177591,0.207801124177591
喇10-19,1981-11-01,74.63532371469215,76.23171,1.596388626616445,0.021389183394165304,2.1389183394165303
喇10-19,1981-12-01,80.08417191627719,76.65442,3.4297529709646852,0.042826851909641646,-4.282685190964164
喇10-19,1982-01-01,79.45329648445437,76.26087,3.1924245972473386,0.04017988854461137,-4.017988854461136
喇10-19,1982-02-01,76.08654541759805,76.10931,0.022760917851172735,0.0002991451080641173,0.029914510806411727
喇10-19,1982-03-01,78.62045763056291,76.58601,2.034443836617598,0.025876774289173413,-2.5876774289173414
喇10-19,1982-04-01,79.45329648445438,76.409225,3.0440710205871966,0.03831270891551732,-3.8312708915517324
喇10-19,1982-05-01,77.49404308067467,76.44507,1.0489747212996718,0.013536198133418378,-1.3536198133418378
喇10-19,1984-07-01,50.92440154440154,75.93734,25.012938238313303,0.4911778534403443,49.11778534403443
喇10-19,1984-08-01,73.65673806136964,77.00624,3.3495027833569253,0.04547449251100656,4.547449251100656
喇10-19,1984-09-01,86.77603210729526,76.99555,9.780480044306984,0.1127094637401004,-11.27094637401004
喇10-19,1984-10-01,75.47024466571835,76.48359,1.013344506644927,0.013427073294029337,1.3427073294029337
喇10-19,1984-11-01,75.21831091241617,75.895744,0.677433411314297,0.009006230040223811,0.900623004022381
喇10-19,1984-12-01,69.71116399105874,77.18,7.468836314117041,0.10713974471972675,10.713974471972675
喇10-19,1985-01-01,78.84948831538306,77.85005,0.9994364355002432,0.012675243135411181,-1.267524313541118
