JH,SJ,YZB,LY,DYM,CC1,CC2,YCYE,CCCD,RCY,RCYE,HSL,YCY
北2-2-044,200406,6924548,4.14,687.1,3,6,610,33.7134,1.72,24.4,92.95,1.72
北2-2-044,200407,6924548,4.14,671.7,3,6,560,33.7756,2.9,18.06,83.93,2.9
北2-2-044,200408,6924548,4.32,617.1,3,6,603,33.8405,4.35,19.45,77.61,4.35
北2-2-044,200409,6924548,3.96,706.2,3,6,572,33.9038,4.6,19.07,75.87,4.6
北2-2-044,200410,6924548,4.78,526.8,3,6,551,33.9655,3.71,17.77,79.13,3.71
北2-2-044,200411,6924548,4.19,718.1,3,6,506,34.0187,3.17,16.87,81.23,3.17
北2-2-044,200412,6924548,4.18,716.2,3,6,666,34.0795,3.97,21.48,81.53,3.97
北2-2-044,200501,6924548,3.98,770.6,3,6,647,34.1435,3.61,20.87,82.69,3.61
北2-2-044,200502,6924548,4.34,771.4,3,6,501,34.1975,2.96,17.89,83.43,2.96
北2-2-044,200503,6924548,4.55,716.5,3,6,553,34.259,2.93,18.43,84.09,2.93
北2-2-044,200504,6924548,4.58,709.3,3,6,616,34.3167,3.1,20.53,84.9,3.1
北2-2-044,200505,6924548,4.57,712.3,3,6,660,34.3775,2.61,21.29,87.73,2.61
北2-2-044,200506,6924548,3.5,695.2,3,6,458,34.4339,2.07,15.27,86.46,2.07
北2-2-044,200507,6924548,3.42,722.1,3,6,426,34.4853,1.67,14.2,88.26,1.67
北2-2-044,200508,6924548,3.63,652.1,3,6,458,34.5412,1.77,14.77,87.99,1.77
北2-2-044,200509,6924548,5.86,279.7,3,6,356,34.5971,1.85,13.69,86.52,1.85
北2-2-044,200510,6924548,3.42,723.8,3,6,388,34.6534,1.35,12.52,89.18,1.35
北2-2-044,200511,6924548,3.92,576.9,3,6,414,34.7085,1.3,13.8,90.58,1.3
北2-2-044,200512,6924548,3.48,703,3,6,504,34.7612,2,16.26,87.7,2
北2-2-044,200601,6924548,4.51,726.3,3,6,464,34.8169,2.29,16.57,86.21,2.29
北2-2-044,200602,6924548,4.73,673.9,3,6,456,34.8619,1.68,16.29,89.69,1.68
北2-2-044,200603,6924548,5,507.9,3,6,342,34.9127,0.97,11.03,91.23,0.97
北2-2-044,200604,6924548,4.47,595.6,3,6,381,34.9593,1.47,12.7,88.45,1.47
北2-2-044,200605,6924548,4.11,675.6,3,6,447,35.0054,2.77,14.42,80.76,2.77
北2-2-044,200606,6924548,4.17,699.9,3,6,438,35.0499,3.47,14.6,76.26,3.47
北2-2-044,200607,6924548,4.21,689,3,6,440,35.0916,3,14.19,78.86,3
北2-2-044,200608,6924548,3.34,755.7,3,6,419,35.1335,3.39,13.52,74.94,3.39
北2-2-044,200609,6924548,4.05,716.6,3,6,432,35.1753,3.86,14.9,74.07,3.86
北2-2-044,200610,6924548,4.13,764.6,3,6,446,35.2202,3.19,14.39,77.8,3.19
北2-2-044,200611,6924548,4.02,784.4,3,6,319,35.2638,2.7,10.63,74.61,2.7
北2-2-044,200612,6924548,4.06,768.8,3,6,404,35.3107,3.61,13.03,72.28,3.61
北2-2-044,200701,6924548,4.04,770.8,3,6,355,35.3587,2.94,11.45,74.37,2.94
北2-2-044,200702,6924548,4.2,717.9,3,6,318,35.3967,2.04,11.36,82.08,2.04
北2-2-044,200703,6924548,4.39,658.6,3,6,372,35.4377,1.81,12,84.95,1.81
北2-2-044,200704,6924548,4.43,677,3,6,396,35.4769,2.37,13.2,82.07,2.37
北2-2-044,200705,6924548,4.46,666.5,3,6,364,35.5155,2.68,11.74,77.2,2.68
北2-2-044,200706,6924548,4.35,639.5,3,6,373,35.554,2.47,12.43,80.16,2.47
北2-2-044,200707,6924548,4.21,670.2,3,6,345,35.5895,2.03,11.13,81.74,2.03
北2-2-044,200708,6924548,4.12,689.3,3,6,359,35.6246,2.16,11.58,81.34,2.16
北2-2-044,200709,6924548,4.16,674.7,3,6,409,35.6611,2.47,13.65,81.91,2.47
北2-2-044,200710,6924548,4.8,658.6,3,6,368,35.6989,2.15,12.55,82.88,2.15
北2-2-044,200711,6924548,4.6,704.7,3,6,314,35.7324,1.37,10.48,86.94,1.37
北2-2-044,200712,6924548,4.58,709.2,3,6,321,35.7694,1.45,10.37,85.98,1.45
北2-2-044,200801,6924548,4.58,709.2,3,6,316.78,35.8086,1.54,10.28,85,1.54
北2-2-044,200802,6924548,4.58,709.2,3,6,312.37,35.844,1.47,10.79,86.36,1.47
北2-2-044,200803,6924548,4.82,654.86,3,6,331.22,35.8808,1.99,10.79,81.53,1.99
北2-2-044,200804,6924548,4.82,654.86,3,6,295.42,35.9142,2.04,9.86,79.28,2.04
北2-2-044,200805,6924548,4.82,654.86,3,6,310.54,35.9488,2.14,10.03,78.67,2.14
北2-2-044,200806,6924548,4.82,654.86,3,6,265.12,35.9823,1.21,8.93,86.47,1.21
北2-2-044,200807,6924548,4.82,654.86,3,6,284.35,36.0166,0.72,9.18,92.11,0.72
北2-2-044,200808,6924548,4.97,624.13,3,6,294.34,36.0483,1.08,9.51,88.63,1.08
北2-2-044,200809,6924548,4.84,650.84,3,6,243.78,36.0833,1.09,8.16,86.69,1.09
北2-2-044,200810,6924548,4.83,654.05,3,6,262.69,36.1213,1.2,8.6,86.04,1.2
北2-2-044,200811,6924548,4.83,654.05,3,6,253.19,36.1604,1.21,8.45,85.71,1.21
北2-2-044,200812,6924548,4.67,564.22,3,6,293.98,36.2018,1.34,9.51,85.93,1.34
北2-2-044,200901,6924548,4.61,570.44,3,6,238.44,36.2439,1.11,8.91,87.5,1.11
北2-2-044,200902,6924548,4.61,570.44,3,6,255.82,36.2808,1.32,9.15,85.56,1.32
北2-2-044,200903,6924548,4.49,596.59,3,6,324.95,36.319,1.92,10.57,81.79,1.92
北2-2-044,200904,6924548,4.8,550.94,3,6,461.63,36.3589,3.79,15.7,75.86,3.79
北2-2-044,200905,6924548,4.8,550.94,3,6,419.1,36.3989,3.59,14.87,75.84,3.59
北2-2-044,200906,6924548,4.67,574.48,3,6,388.72,36.4339,2.91,13.13,77.8,2.91
北2-2-044,200907,6924548,4.67,574.48,3,6,368.38,36.4714,2.73,11.95,77.14,2.73
北2-2-044,200908,6924548,4.67,574.48,3,6,322.05,36.5081,1.53,10.62,85.63,1.53
北2-2-044,200909,6924548,4.67,574.48,3,6,296.25,36.5402,0.7,10.04,93.01,0.7
北2-2-044,200910,6924548,4.3,623.63,3,6,319.14,36.5701,1.24,10.56,88.22,1.24
北2-2-044,200911,6924548,4.7,553,3,6,304.6,36.5999,1.02,10.17,89.97,1.02
北2-2-044,200912,6924548,4.7,553,3,6,209.41,36.6214,0.71,6.76,89.45,0.71
北2-2-044,201001,6924548,6.78,248.73,3,6,270.91,36.6618,1.09,8.75,87.5,1.09
北2-2-044,201002,6924548,6.78,248.73,3,6,315.11,36.702,1.26,11.27,88.85,1.26
北2-2-044,201003,6924548,6.78,248.73,3,6,448.9,36.7472,1.2,14.5,91.75,1.2
北2-2-046,199104,6924398,5.7,823,3,6,852.6,19.9008,11.24,28.42,60.45,11.24
北2-2-046,199105,6924398,5.8,210,3,6,994.5,19.9918,12.42,32.08,61.29,12.42
北2-2-046,199106,6924398,5.3,314,3,6,890,20.0786,11.4,29.67,61.57,11.4
北2-2-046,199107,6924398,5.6,231,3,6,790.6,20.1644,12.32,31.62,61.05,12.32
北2-2-046,199108,6924398,5.6,260,3,6,1132.7,20.2506,10.29,36.54,71.84,10.29
北2-2-046,199109,6924398,5.6,246,3,6,1148.3,20.3312,9.49,38.28,75.2,9.49
北2-2-046,199110,6924398,5.8,225,3,6,1268.4,20.4127,10.89,40.92,73.38,10.89
北2-2-046,199111,6924398,5.3,284,3,6,1189.1,20.4917,10.82,39.64,72.71,10.82
北2-2-046,199112,6924398,5.1,329,3,6,1262.3,20.5752,9.83,40.72,75.85,9.83
